db_var,census_var,oldlabel,newlabel
RENT04_E,DP04_0129E,Estimate!!GROSS RENT!!Occupied units paying rent!!$1 000 to $1 499,"Estimate!!GROSS RENT!!Occupied units paying rent!!$1,000 to $1,499"
RENT04_M,DP04_0129M,Margin of Error!!GROSS RENT!!Occupied units paying rent!!$1 000 to $1 499,"Margin of Error!!GROSS RENT!!Occupied units paying rent!!$1,000 to $1,499"
RENT04_PC,DP04_0129PE,Percent Estimate!!GROSS RENT!!Occupied units paying rent!!$1 000 to $1 499,"Percent Estimate!!GROSS RENT!!Occupied units paying rent!!$1,000 to $1,499"
RENT04_PM,DP04_0129PM,Percent Margin of Error!!GROSS RENT!!Occupied units paying rent!!$1 000 to $1 499,"Percent Margin of Error!!GROSS RENT!!Occupied units paying rent!!$1,000 to $1,499"
RENT05_E,DP04_0130E,Estimate!!GROSS RENT!!Occupied units paying rent!!$1 500 to $1 999,"Estimate!!GROSS RENT!!Occupied units paying rent!!$1,500 to $1,999"
RENT05_M,DP04_0130M,Margin of Error!!GROSS RENT!!Occupied units paying rent!!$1 500 to $1 999,"Margin of Error!!GROSS RENT!!Occupied units paying rent!!$1,500 to $1,999"
RENT05_PC,DP04_0130PE,Percent Estimate!!GROSS RENT!!Occupied units paying rent!!$1 500 to $1 999,"Percent Estimate!!GROSS RENT!!Occupied units paying rent!!$1,500 to $1,999"
RENT05_PM,DP04_0130PM,Percent Margin of Error!!GROSS RENT!!Occupied units paying rent!!$1 500 to $1 999,"Percent Margin of Error!!GROSS RENT!!Occupied units paying rent!!$1,500 to $1,999"
RENT06_E,DP04_0131E,Estimate!!GROSS RENT!!Occupied units paying rent!!$2 000 to $2 499,"Estimate!!GROSS RENT!!Occupied units paying rent!!$2,000 to $2,499"
RENT06_M,DP04_0131M,Margin of Error!!GROSS RENT!!Occupied units paying rent!!$2 000 to $2 499,"Margin of Error!!GROSS RENT!!Occupied units paying rent!!$2,000 to $2,499"
RENT06_PC,DP04_0131PE,Percent Estimate!!GROSS RENT!!Occupied units paying rent!!$2 000 to $2 499,"Percent Estimate!!GROSS RENT!!Occupied units paying rent!!$2,000 to $2,499"
RENT06_PM,DP04_0131PM,Percent Margin of Error!!GROSS RENT!!Occupied units paying rent!!$2 000 to $2 499,"Percent Margin of Error!!GROSS RENT!!Occupied units paying rent!!$2,000 to $2,499"
RENT07_E,DP04_0132E,Estimate!!GROSS RENT!!Occupied units paying rent!!$2 500 to $2 999,"Estimate!!GROSS RENT!!Occupied units paying rent!!$2,500 to $2,999"
RENT07_M,DP04_0132M,Margin of Error!!GROSS RENT!!Occupied units paying rent!!$2 500 to $2 999,"Margin of Error!!GROSS RENT!!Occupied units paying rent!!$2,500 to $2,999"
RENT07_PC,DP04_0132PE,Percent Estimate!!GROSS RENT!!Occupied units paying rent!!$2 500 to $2 999,"Percent Estimate!!GROSS RENT!!Occupied units paying rent!!$2,500 to $2,999"
RENT07_PM,DP04_0132PM,Percent Margin of Error!!GROSS RENT!!Occupied units paying rent!!$2 500 to $2 999,"Percent Margin of Error!!GROSS RENT!!Occupied units paying rent!!$2,500 to $2,999"
RENT08_E,DP04_0133E,Estimate!!GROSS RENT!!Occupied units paying rent!!$3 000 or more,"Estimate!!GROSS RENT!!Occupied units paying rent!!$3,000 or more"
RENT08_M,DP04_0133M,Margin of Error!!GROSS RENT!!Occupied units paying rent!!$3 000 or more,"Margin of Error!!GROSS RENT!!Occupied units paying rent!!$3,000 or more"
RENT08_PC,DP04_0133PE,Percent Estimate!!GROSS RENT!!Occupied units paying rent!!$3 000 or more,"Percent Estimate!!GROSS RENT!!Occupied units paying rent!!$3,000 or more"
RENT08_PM,DP04_0133PM,Percent Margin of Error!!GROSS RENT!!Occupied units paying rent!!$3 000 or more,"Percent Margin of Error!!GROSS RENT!!Occupied units paying rent!!$3,000 or more"
VOTE01_E,DP05_0087E,Estimate!!CITIZEN VOTING AGE POPULATION!!Citizen 18 and over population,"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population"
VOTE01_M,DP05_0087M,Margin of Error!!CITIZEN VOTING AGE POPULATION!!Citizen 18 and over population,"Margin of Error!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population"
VOTE01_PC,DP05_0087PE,Percent Estimate!!CITIZEN VOTING AGE POPULATION!!Citizen 18 and over population,"Percent Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population"
VOTE01_PM,DP05_0087PM,Percent Margin of Error!!CITIZEN VOTING AGE POPULATION!!Citizen 18 and over population,"Percent Margin of Error!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population"
