"zcta5","county14","cntyname2","zipname","pop10","afact"
"10001","36061","New York NY","New York, NY",21102,1
"10002","36061","New York NY","New York, NY",81410,1
"10003","36061","New York NY","New York, NY",56024,1
"10004","36061","New York NY","New York, NY",3089,1
"10005","36061","New York NY","New York, NY",7135,1
"10006","36061","New York NY","New York, NY",3011,1
"10007","36061","New York NY","New York, NY",6988,1
"10009","36061","New York NY","New York, NY",61347,1
"10010","36061","New York NY","New York, NY",31834,1
"10011","36061","New York NY","New York, NY",50984,1
"10012","36061","New York NY","New York, NY",24090,1
"10013","36061","New York NY","New York, NY",27700,1
"10014","36061","New York NY","New York, NY",31959,1
"10016","36061","New York NY","New York, NY",54183,1
"10017","36061","New York NY","New York, NY",16575,1
"10018","36061","New York NY","New York, NY",5229,1
"10019","36061","New York NY","New York, NY",42870,1
"10020","36061","New York NY","New York, NY",0,
"10021","36061","New York NY","New York, NY",43631,1
"10022","36061","New York NY","New York, NY",31924,1
"10023","36061","New York NY","New York, NY",60998,1
"10024","36061","New York NY","New York, NY",59283,1
"10025","36061","New York NY","New York, NY",94600,1
"10026","36061","New York NY","New York, NY",34003,1
"10027","36061","New York NY","New York, NY",59707,1
"10028","36061","New York NY","New York, NY",45141,1
"10029","36061","New York NY","New York, NY",76003,1
"10030","36061","New York NY","New York, NY",26999,1
"10031","36061","New York NY","New York, NY",56438,1
"10032","36061","New York NY","New York, NY",57331,1
"10033","36061","New York NY","New York, NY",53926,1
"10034","36061","New York NY","New York, NY",38908,1
"10035","36061","New York NY","New York, NY",33969,1
"10036","36061","New York NY","New York, NY",24711,1
"10037","36061","New York NY","New York, NY",17416,1
"10038","36061","New York NY","New York, NY",20300,1
"10039","36061","New York NY","New York, NY",24527,1
"10040","36061","New York NY","New York, NY",41905,1
"10044","36061","New York NY","New York, NY",11661,1
"10065","36061","New York NY","New York, NY",32270,1
"10069","36061","New York NY","New York, NY",5199,1
"10075","36061","New York NY","New York, NY",26121,1
"10103","36061","New York NY","New York, NY",3,1
"10110","36061","New York NY","New York, NY",0,
"10111","36061","New York NY","New York, NY",0,
"10112","36061","New York NY","New York, NY",0,
"10115","36061","New York NY","New York, NY",0,
"10119","36061","New York NY","New York, NY",92,1
"10128","36061","New York NY","New York, NY",60453,1
"10152","36061","New York NY","New York, NY",0,
"10153","36061","New York NY","New York, NY",0,
"10154","36061","New York NY","New York, NY",0,
"10162","36061","New York NY","New York, NY",1685,1
"10165","36061","New York NY","New York, NY",2,1
"10167","36061","New York NY","New York, NY",0,
"10168","36061","New York NY","New York, NY",0,
"10169","36061","New York NY","New York, NY",0,
"10170","36061","New York NY","New York, NY",2,1
"10171","36061","New York NY","New York, NY",0,
"10172","36061","New York NY","New York, NY",0,
"10173","36061","New York NY","New York, NY",2,1
"10174","36061","New York NY","New York, NY",0,
"10177","36061","New York NY","New York, NY",0,
"10199","36061","New York NY","New York, NY",9,1
"10271","36061","New York NY","New York, NY",0,
